encounter_datetime,park_area_id,city_agency,encounter_type,simplified_encounter_type,sd_patronscomplied,sd_patronsnocomply,sd_amenity,closed_amenity,closed_patroncount,closed_approach,closed_outcome,park_borough
06/07/2020 04:24:00 PM,M010,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
06/07/2020 04:20:00 PM,Q099,DEP,Social distancing (groups of 3 or more),Social Distancing,0,100,Open field/multi-purpose play area,,,,,Queens
06/07/2020 03:40:00 PM,Q015-03,DEP,Social distancing (groups of 3 or more),Social Distancing,5,4,Walking path,,,,,Queens
06/07/2020 03:55:00 PM,Q099,DEP,Social distancing (groups of 3 or more),Social Distancing,0,20,Open field/multi-purpose play area,,,,,Queens
06/07/2020 04:15:00 PM,Q223,DEP,Social distancing (groups of 3 or more),Social Distancing,18,0,Open field/multi-purpose play area,,,,,Queens
06/07/2020 04:17:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/07/2020 04:17:00 PM,B073,DEP,Social distancing (groups of 3 or more),Social Distancing,10,20,Bench/sitting area,,,,,Brooklyn
06/07/2020 04:15:00 PM,Q008,DEP,Social distancing (groups of 3 or more),Social Distancing,12,0,Bench/sitting area,,,,,Queens
05/07/2020 04:15:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/07/2020 04:00:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/07/2020 04:13:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 04:13:00 PM,Q102,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,2,true,true,Queens
06/07/2020 04:11:00 PM,Q004,DEP,Social distancing (groups of 3 or more),Social Distancing,0,3,Walking path,,,,,Queens
06/07/2020 04:00:00 PM,R031,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/07/2020 04:07:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
05/07/2020 04:00:00 PM,X039,DEP,Social distancing (groups of 3 or more),Social Distancing,0,15,Adult fitness equipment,,,,,Bronx
06/07/2020 04:02:00 PM,Q015,DEP,Social distancing (groups of 3 or more),Social Distancing,7,0,Bench/sitting area,,,,,Queens
06/07/2020 02:02:00 PM,Q015,DEP,Social distancing (groups of 3 or more),Social Distancing,7,2,Chess area,,,,,Queens
06/07/2020 04:02:00 PM,Q015,DEP,Social distancing (groups of 3 or more),Social Distancing,7,2,Chess area,,,,,Queens
06/07/2020 04:00:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 04:02:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:37:00 PM,Q015,DEP,Social distancing (groups of 3 or more),Social Distancing,8,0,Soccer field,,,,,Queens
06/07/2020 03:55:00 PM,Q099,DEP,Social distancing (groups of 3 or more),Social Distancing,0,20,Open field/multi-purpose play area,,,,,Queens
06/07/2020 03:59:00 PM,Q099,DEP,Social distancing (groups of 3 or more),Social Distancing,0,6,Open field/multi-purpose play area,,,,,Queens
06/07/2020 04:00:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:55:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:57:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 04:00:00 PM,B073-07,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,2,true,true,Brooklyn
06/07/2020 03:35:00 PM,Q099,DEP,Social distancing (groups of 3 or more),Social Distancing,0,100,Open field/multi-purpose play area,,,,,Queens
06/07/2020 02:41:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:45:00 PM,R106,DEP,Social distancing (groups of 3 or more),Social Distancing,10,0,Chess area,,,,,Staten Island
06/07/2020 03:52:00 PM,Q051,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:00:00 PM,Q163-21,DEP,Social distancing (groups of 3 or more),Social Distancing,7,0,Open field/multi-purpose play area,,,,,Queens
06/07/2020 03:45:00 PM,X039,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/07/2020 03:30:00 PM,Q163,DEP,Social distancing (groups of 3 or more),Social Distancing,9,0,Walking path,,,,,Queens
06/07/2020 02:40:00 PM,Q163-21,DEP,Social distancing (groups of 3 or more),Social Distancing,6,0,Open field/multi-purpose play area,,,,,Queens
06/07/2020 03:44:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/07/2020 03:40:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:44:00 PM,Q448-01,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/06/2020 03:45:00 PM,Q162I,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:42:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:41:00 PM,Q008,DEP,Social distancing (groups of 3 or more),Social Distancing,4,0,Walking path,,,,,Queens
06/07/2020 03:40:00 PM,X150L,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/07/2020 03:35:00 PM,Q099,DEP,Social distancing (groups of 3 or more),Social Distancing,0,100,Open field/multi-purpose play area,,,,,Queens
06/07/2020 03:35:00 PM,Q458,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:37:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/07/2020 03:35:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/07/2020 02:50:00 PM,Q099,DEP,Social distancing (groups of 3 or more),Social Distancing,0,100,Open field/multi-purpose play area,,,,,Queens
06/07/2020 03:30:00 PM,B018,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/07/2020 01:30:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/07/2020 03:31:00 PM,B073,DEP,Social distancing (groups of 3 or more),Social Distancing,35,15,Open field/multi-purpose play area,,,,,Brooklyn
06/07/2020 03:30:00 PM,B073,DEP,Social distancing (groups of 3 or more),Social Distancing,15,0,Open field/multi-purpose play area,,,,,Brooklyn
06/07/2020 03:30:00 PM,R005,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/07/2020 03:00:00 PM,R031,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/07/2020 02:30:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 01:30:00 PM,Q015,DEP,Social distancing (groups of 3 or more),Social Distancing,4,2,Walking path,,,,,Queens
06/07/2020 03:20:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/07/2020 03:21:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:15:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:20:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:15:00 PM,R106,DEP,Social distancing (groups of 3 or more),Social Distancing,6,2,Walking path,,,,,Staten Island
06/06/2020 03:22:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
05/07/2020 03:16:00 PM,Q004,DEP,Social distancing (groups of 3 or more),Social Distancing,5,0,Walking path,,,,,Queens
06/06/2020 03:10:00 PM,Q163,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:15:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:13:00 PM,Q102-03,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,2,true,true,Queens
06/07/2020 03:10:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/07/2020 03:10:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/07/2020 03:05:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:05:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/07/2020 01:50:00 PM,Q099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:04:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:00:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:00:00 PM,Q001-99,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:00:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/07/2020 02:58:00 PM,M010,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
06/07/2020 02:50:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:59:00 PM,Q448-01,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:51:00 PM,Q099,DEP,Social distancing (groups of 3 or more),Social Distancing,9,6,Open field/multi-purpose play area,,,,,Queens
06/07/2020 02:50:00 PM,Q099,DEP,Social distancing (groups of 3 or more),Social Distancing,0,100,Open field/multi-purpose play area,,,,,Queens
06/07/2020 01:45:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:45:00 PM,Q458,DEP,Social distancing (groups of 3 or more),Social Distancing,4,0,Parking Lot,,,,,Queens
06/07/2020 03:00:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/07/2020 02:56:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 03:55:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:51:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:20:00 PM,Q099,DEP,Social distancing (groups of 3 or more),Social Distancing,0,50,Open field/multi-purpose play area,,,,,Queens
06/07/2020 02:51:00 PM,M010-193,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
06/07/2020 02:47:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:51:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:45:00 PM,R106,DEP,Social distancing (groups of 3 or more),Social Distancing,5,0,Walking path,,,,,Staten Island
06/07/2020 01:19:00 PM,Q099,DEP,Social distancing (groups of 3 or more),Social Distancing,12,11,Soccer field,,,,,Queens
06/07/2020 02:47:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 01:30:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/07/2020 02:40:00 PM,B073,DEP,Social distancing (groups of 3 or more),Social Distancing,12,0,Open field/multi-purpose play area,,,,,Brooklyn
06/07/2020 12:45:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 12:00:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/06/2020 02:45:00 PM,Q163,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:43:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/07/2020 02:41:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:40:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:40:00 PM,Q020,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:38:00 PM,Q015,DEP,Social distancing (groups of 3 or more),Social Distancing,8,0,Soccer field,,,,,Queens
06/07/2020 02:37:00 PM,Q015,DEP,Social distancing (groups of 3 or more),Social Distancing,8,0,Soccer field,,,,,Queens
06/07/2020 02:30:00 PM,B018,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/07/2020 02:34:00 PM,X045,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
06/07/2020 01:30:00 PM,B018,DEP,Social distancing (groups of 3 or more),Social Distancing,4,0,Open field/multi-purpose play area,,,,,Brooklyn
06/07/2020 02:30:00 PM,Q458,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:15:00 PM,Q001,DEP,Social distancing (groups of 3 or more),Social Distancing,6,0,Open field/multi-purpose play area,,,,,Queens
06/07/2020 02:27:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:00:00 PM,R031,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
06/07/2020 02:23:00 PM,Q015,DEP,Social distancing (groups of 3 or more),Social Distancing,13,17,Open field/multi-purpose play area,,,,,Queens
06/07/2020 02:25:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/07/2020 02:20:00 PM,Q099,DEP,Social distancing (groups of 3 or more),Social Distancing,0,50,Open field/multi-purpose play area,,,,,Queens
06/07/2020 02:21:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/07/2020 02:22:00 PM,B018,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/07/2020 02:15:00 PM,X039,DEP,Social distancing (groups of 3 or more),Social Distancing,7,0,Baseball field,,,,,Bronx
06/07/2020 02:21:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
06/07/2020 02:20:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
05/07/2020 02:20:00 PM,Q004,DEP,Social distancing (groups of 3 or more),Social Distancing,0,3,Walking path,,,,,Queens
06/07/2020 02:00:00 PM,Q099-16,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Playground,15,true,false,Queens
